product_id,name,slug,sku,category,price,transfer_price,stock,brand,type,supplier,commercial_category,olfactory_family,intensity,occasion,gender
f65ba129-7183-4894-bd1c-c9676df030ad,Odyssey Wild One,odyssey-wild-one,,Perfumes,95844.16,73800,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
917dd573-dc58-435a-85a4-c6b55bcd7ffc,Opulent Dubai,opulent-dubai,,Perfumes,93506.49,72000,0,,Perfumes,,,,,,
4d1af887-4b48-4be4-82e1-c0d9effb1a30,PHILOS PURA - 100ML,philos-pura-100ml,,Perfumes,82402.6,63450,0,,Perfumes,,,,,,
bedb3ca2-68ed-4158-a00f-4b203b4d8f92,Qaed Al Fursan Untamed,qaed-al-fursan-untamed,,Perfumes,74805.19,57600,0,,Perfumes,,,,,,
880dfa55-41c2-4275-91e7-ca7def54ec14,Rasasi Hawas For Him,rasasi-hawas-for-him,,Perfumes,90301.98,69533,1,Rasasi,Fragancia importada,,,,,,
7d334fd0-24b8-422a-a5bd-daa7de0e2947,RASSASI HAWAS FOR HIM,rassasi-hawas-for-him,,Perfumes,99740.26,76800,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
f57365ec-33f2-4807-aa64-18a77c00b00b,SALVO ELIXIR - 60ML,salvo-elixir-60ml,,Perfumes,79584.42,61280,0,,Perfumes,,,,,,
d26152c8-44cf-4db0-9dc6-b46e728f85e0,Sceptre Malachite Maison Alhambra,sceptre-malachite-maison-alhambra,,Perfumes,82361.56,63418.4,0,,Perfumes,,,,,,
314ab75f-58b3-49c5-8602-cda72295d855,Uomo itense,uomo-itense,,Perfumes,141298.7,108800,0,,Perfumes,,,,,,
3593d659-714c-40ed-9231-8e57064c0fc3,Vulcan Feu French Avenue,vulcan-feu-french-avenue,,Perfumes,138437.34,106596.75,0,,Perfumes,,,,,,
919056a3-1dc9-4ae0-9f90-fbba8cf58be9,YARA ELIXIR - 100ML,yara-elixir-100ml,,Perfumes,106168.83,81750,0,,Perfumes,,,,,,
