id,name,slug,category,status,stock,cost,cost_status,latest_confirmed_purchase_cost,latest_confirmed_purchase_at,price,transfer_price,margin_price_pct,margin_transfer_pct,description_status,description_reason,attributes_status,attributes_reason,images_count,images_status,completeness,issues,suggested_action,priority
4d304204-8569-464a-b856-29a84bdee6c8,Canasta simil cuero,canasta-simil-cuero,Accesorios,draft,0,6500,COST_WITHOUT_PURCHASE_SOURCE,,,25324.68,19500,289.61,200,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
f0f14dc6-8693-4670-aeab-42cc64732b0e,CARGADOR 3.8A  + CABLE TIPO C,cargador-3-8a-cable-tipo-c,Electrónica,draft,0,2939,COST_WITHOUT_PURCHASE_SOURCE,,,11450.65,8817,289.61,200,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
631dc501-2496-4c4f-9900-b0b14fbd19d2,Club de Nuit Intense Man,club-de-nuit-intense-man,Perfumes,active,0,54450,COST_WITHOUT_PURCHASE_SOURCE,,,106071.43,81675,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
5f7a5f98-ef5b-447c-a9d4-49bcc840903c,CLUB DE NUIT SILLAGE,club-de-nuit-sillage,Perfumes,active,0,56700,COST_WITHOUT_PURCHASE_SOURCE,,,110454.55,85050,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE,Revisar costo contra la ultima compra confirmada.,HIGH
e781712d-5839-4d63-b648-13a2dfee6a71,Combo 5 imperiales algarrobo acero + 5 pico loro,combo-5-imperiales-algarrobo-acero-5-pico-loro,Regalos,draft,0,9998,COST_WITHOUT_PURCHASE_SOURCE,,,32461.04,24995,224.68,150,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
1e6c42e4-08af-4ed7-ad01-95fb22e13c4a,"COMBO CABEZAL Y CABLE 20W	 
REPLICA AAA",combo-cabezal-y-cable-20w-replica-aaa,Regalos,draft,0,7300,COST_WITHOUT_PURCHASE_SOURCE,,,27019.48,20805,270.13,185,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
4cfaa1d5-23ce-49a3-9866-81e24160a2dc,COMBO TERMO + MATE OPACCO + BOMBILLA STANLEY,combo-termo-mate-opacco-bombilla-stanley,Bombillas,draft,0,26400,COST_WITHOUT_PURCHASE_SOURCE,,,54857,42240,107.79,60,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, capacity, material, color.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
619f8ce8-d73f-4a8f-9fa5-ace42abab70e,COMBO TERMO/MATE OPACCO,combo-termo-mate-opacco,Termos,draft,0,22700,COST_WITHOUT_PURCHASE_SOURCE,,,47169,36320,107.79,60,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, capacity, material, color.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
7d2416cf-c123-4040-8617-1fb75de38e6e,CONFIDENTIAL GOLD - 100M,confidential-gold-100m,Accesorios,draft,0,38100,COST_WITHOUT_PURCHASE_SOURCE,,,74221,57150,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
2e51cf34-5c02-42ff-867e-7a06d8bf273b,CONFIDENTIAL GOLD - 100ML,confidential-gold-100ml,Perfumes,active,1,31700,COST_WITHOUT_PURCHASE_SOURCE,,,74103.9,57060,133.77,80,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,1,ONLY_ONE_IMAGE,71,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|ONLY_ONE_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
39dc1190-b773-4430-9bb8-9fb37cce1a21,Decant 9 AM,decant-9-am,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
e0d493ea-6aa8-4127-8199-f171e829dda1,Decant 9 pm elixir,decant-9-pm-elixir,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
7e7a8a98-61c6-491e-85d8-1c13762fd6cc,Decant 9pm rebel,decant-9pm-rebel,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
1ce1e6ff-2064-4290-8fea-c804cf5d44e0,Decant all' haramain amber oud gol edition,decant-all-haramain-amber-oud-gol-edition,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
3643a08f-c0fc-4ada-8639-94ff3340ef90,Decant Aqua Dubai,decant-aqua-dubai,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,19740.26,15200,146.75,90,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
360eb933-9dda-4dff-81cb-dcfc3d293484,Decant Art of universe,decant-art-of-universe,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
15095452-e3cb-4ba7-b586-2b6e5e5206f3,Decant Asad bourbon,decant-asad-bourbon,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17662.34,13600,120.78,70,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
1e899cee-6a4b-4edf-bf22-941952ff79af,Decant Bharara king,decant-bharara-king,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
14fad7f8-6639-4f97-9e9c-4e2a89bbc7e7,Decant Bharara soleil,decant-bharara-soleil,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,19740.26,15200,146.75,90,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
7ccfd5dc-8ce3-4a93-9d15-9e99748f1944,Decant Club de nuit iconic,decant-club-de-nuit-iconic,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
8194a45a-aeed-40a5-8c76-6e92ed85ebd2,Decant Club de nuit intense,decant-club-de-nuit-intense,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
b352dd83-e0f8-4569-96e8-42acb20ae139,Decant Club de nuit urban elixir,decant-club-de-nuit-urban-elixir,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
64e60fa7-4bc9-4fbb-a401-d57821edc72b,Decant dubai nigth,decant-dubai-nigth,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
8d828391-4a86-4eb9-bb6a-f384bc3e1d7d,Decant Game of Spades Full House 5ml,decant-game-of-spades-full-house,Perfumes,active,1,8000,COST_WITHOUT_PURCHASE_SOURCE,,,21818.18,16800,172.73,110,DESCRIPTION_NEEDS_VERIFICATION,No referencia claramente el producto auditado.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,1,ONLY_ONE_IMAGE,57,COST_WITHOUT_PURCHASE_SOURCE|DESCRIPTION_NEEDS_VERIFICATION|ATTRIBUTES_INCOMPLETE|ONLY_ONE_IMAGE|ACTIVE_WITHOUT_USEFUL_DESCRIPTION|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
50282266-0dd6-4864-bfdb-bbc6c5aec91a,Decant hawas black,decant-hawas-black,Accesorios,draft,0,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
2db67b25-6e37-446a-8e98-5f626d5efc63,Decant hawas elixir,decant-hawas-elixir,Perfumes,active,1,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_NEEDS_VERIFICATION,No referencia claramente el producto auditado.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,1,ONLY_ONE_IMAGE,57,COST_WITHOUT_PURCHASE_SOURCE|DESCRIPTION_NEEDS_VERIFICATION|ATTRIBUTES_INCOMPLETE|ONLY_ONE_IMAGE|ACTIVE_WITHOUT_USEFUL_DESCRIPTION|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
f91c4caa-32bb-4450-8a87-25422095257b,Decant hawas fire,decant-hawas-fire,Perfumes,active,1,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_NEEDS_VERIFICATION,No referencia claramente el producto auditado.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,1,ONLY_ONE_IMAGE,57,COST_WITHOUT_PURCHASE_SOURCE|DESCRIPTION_NEEDS_VERIFICATION|ATTRIBUTES_INCOMPLETE|ONLY_ONE_IMAGE|ACTIVE_WITHOUT_USEFUL_DESCRIPTION|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
8f06198a-0199-407d-9d5d-9e7c38bcd578,Decant hawas Kobra 5ml,decant-hawas-kobra,Perfumes,active,1,8000,COST_WITHOUT_PURCHASE_SOURCE,,,17142.86,13200,114.29,65,DESCRIPTION_NEEDS_VERIFICATION,No referencia claramente el producto auditado.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,1,ONLY_ONE_IMAGE,57,COST_WITHOUT_PURCHASE_SOURCE|DESCRIPTION_NEEDS_VERIFICATION|ATTRIBUTES_INCOMPLETE|ONLY_ONE_IMAGE|ACTIVE_WITHOUT_USEFUL_DESCRIPTION|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
